CNPJ,ProtocoloId2,Bairro (1),Situação,Data da Emissão,Grau de Risco,Principal Atividade,Item,"CNAE
(Especializado)",Descrição da Atividade,Risco Sanitário (RS),SEGMENTO DA ATIVIDADE ECONÔMICA,SUBGRUPO,Classificação Manual,Bairro (2),IDH,label_licenciados,Atividades
21624764000128.0,8320.0,Distrito Industrial,Emitido Automaticamente,2020-05-02 00:00:00,Baixo Risco,4723700.0,133.0,472370000.0,Comércio varejista de bebidas,Baixo Risco B,PRODUTOS,ALIMENTOS,Sul,Colônia Antônio Aleixo,Baixo,Licenciados,"{4723-7/00,4729-6/02,4772-5/00,4712-1/00,8690-9/04,5611-2/03,9602-5/02.01,4721-1/02}"
29817725000159.0,49.0,D. Pedro,Aguardando Solicitação,?,Baixo Risco,9602502.0,259.0,960250201.0,Atividades de estética e outros serviços de cuidados com a beleza,Risco Condicionado,SERVIÇOS,INTERESSE Á SAÚDE,Centro-Oeste,Colônia Oliveira Machado,Médio,Não Licenciados,"{9602-5/02,9602-5/01}"
29748475000142.0,51.0,N. S. Das Gracas,Aguardando Solicitação,?,Alto Risco,8610102.0,197.0,861010200.0,"Atividades de atendimento em pronto-socorro e
unidades hospitalares para atendimento a urgências",Alto Risco,SERVIÇOS,ASSISTÊNCIA À SAÚDE,Centro-Sul,Colônia Santo Antonio,Baixo,Não Licenciados,{8610-1/02}
19852894000257.0,1981.0,Santa Etelvina,Emitido,2018-11-21 00:00:00,Baixo Risco,4723700.0,133.0,472370000.0,Comércio varejista de bebidas,Baixo Risco B,PRODUTOS,ALIMENTOS,Norte,Colônia Santo Antônio,Baixo,Licenciados,"{4723-7/00,4729-6/02,4772-5/00,4729-6/99,4712-1/00}"
4565289004215.0,15242.0,Centro,Em análise,?,Alto Risco,4772500.0,140.0,477250000.0,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",Baixo Risco B,PRODUTOS,COSMÉTICOS,Sul,Colônia Terra Nova,Baixíssimo,Em processo,"{4772-5/00,4771-7/03,5320-2/02,4729-6/99,4773-3/00,4771-7/01,8650-0/99.99}"
20488207000164.0,54.0,Aleixo,Aguardando Solicitação,?,Baixo Risco,5611201.0,160.0,561120101.0,"Restaurantes e similares com fornecimento de música
(uso de som amplificado)",Baixo Risco B,PRODUTOS,ALIMENTOS,Centro-Sul,Compensa,Médio,Não Licenciados,"{5611-2/01.01,8230-0/02}"
5328534000165.0,56.0,Santo Agostinho,Aguardando Solicitação,?,Baixo Risco,4721104.0,130.0,472110400.0,"Comércio varejista de doces, balas, bombons e semelhantes",Baixo Risco B,PRODUTOS,ALIMENTOS,Oeste,Comunidade São José,Baixo,Não Licenciados,"{4721-1/04,4723-7/00,4729-6/99,4712-1/00,4721-1/03}"
13014296000141.0,4115.0,Alvorada,Emitido,2019-05-28 00:00:00,Baixo Risco,4721104.0,130.0,472110400.0,"Comércio varejista de doces, balas, bombons e semelhantes",Baixo Risco B,PRODUTOS,ALIMENTOS,Oeste,Coroado,Baixo,Licenciados,"{4721-1/04,4723-7/00,4712-1/00,5611-2/03,4721-1/03,1091-1/02,4721-1/02}"
13014296000222.0,58.0,Planalto,Aguardando Solicitação,?,Baixo Risco,1091102.0,27.0,109110200.0,Fabricação de produtos de padaria e confeitaria com predominância de produção própria,Baixo Risco B,PRODUTOS,ALIMENTOS,Centro-Oeste,Crespo,Baixíssimo,Não Licenciados,{1091-1/02}
29958769000107.0,59.0,Cidade de Deus,Aguardando Solicitação,?,Baixo Risco,4712100.0,127.0,471210000.0,"Comércio varejista de mercadorias em geral, com predominância de produtos
alimentícios - minimercados, mercearias e armazéns",Baixo Risco B,PRODUTOS,ALIMENTOS,Norte,D. Pedro,Médio,Não Licenciados,"{4712-1/00,4721-1/03,4691-5/00,4721-1/02}"
29817638000100.0,62.0,Monte Das Oliveira,Aguardando Solicitação,?,Baixo Risco,4723700.0,133.0,472370000.0,Comércio varejista de bebidas,Baixo Risco B,PRODUTOS,ALIMENTOS,Norte,Da Paz,Médio,Não Licenciados,"{4723-7/00,4772-5/00,4712-1/00,4744-0/99}"
29737084000122.0,65.0,Armando Mendes,Aguardando Solicitação,?,Baixo Risco,4723700.0,133.0,472370000.0,Comércio varejista de bebidas,Baixo Risco B,PRODUTOS,ALIMENTOS,Centro-Sul,Da Praia,Baixo,Não Licenciados,"{4723-7/00,4729-6/99,5611-2/04}"
13815008000158.0,69.0,Cachoeirinha,Aguardando Solicitação,?,Baixo Risco,9601701.0,257.0,960170102.0,"Lavanderias que processam artigos de estabelecimentos
de interesse sanitário",Alto Risco,SERVIÇOS,INTERESSE Á SAÚDE,Sul,Distrito Industrial,Baixo,Não Licenciados,{9601-7/01.01}
29697700000169.0,70.0,Sao Geraldo,Aguardando Solicitação,?,Baixo Risco,4723700.0,133.0,472370000.0,Comércio varejista de bebidas,Baixo Risco B,PRODUTOS,ALIMENTOS,Centro-Sul,Educando,Baixíssimo,Não Licenciados,"{4723-7/00,4712-1/00,5611-2/03,4729-6/01}"
29970106000108.0,72.0,Sao  Francisco,Aguardando Solicitação,?,Baixo Risco,4723700.0,133.0,472370000.0,Comércio varejista de bebidas,Baixo Risco B,PRODUTOS,ALIMENTOS,Centro-Sul,Eletronorte,Baixo,Não Licenciados,"{4723-7/00,4724-5/00,4722-9/02}"
29842651000100.0,73.0,Parque Dez de Novembro,Aguardando Solicitação,?,Baixo Risco,5611201.0,160.0,561120101.0,"Restaurantes e similares com fornecimento de música
(uso de som amplificado)",Baixo Risco B,PRODUTOS,ALIMENTOS,Centro-Sul,Ephigenio Ferreira De Sales,Baixo,Não Licenciados,"{5611-2/01,5611-2/03}"
29868260000165.0,74.0,Jorge Teixeira,Aguardando Solicitação,?,Baixo Risco,4711301.0,125.0,471130100.0,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",Baixo Risco B,PRODUTOS,ALIMENTOS,Leste,Flores,Médio,Não Licenciados,"{4711-3/01,4742-3/00,4723-7/00,4729-6/99,4724-5/00,4721-1/03,4759-8/99,4721-1/02}"
6972009000140.0,75.0,Zumbi dos Palmares,Aguardando Solicitação,?,Baixo Risco,4772500.0,140.0,477250000.0,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",Baixo Risco B,PRODUTOS,COSMÉTICOS,Leste,Fluvial,Baixo,Não Licenciados,"{4772-5/00,4729-6/99,4712-1/00,4722-9/01}"
27499542000107.0,78.0,Flores,Aguardando Solicitação,?,Alto Risco,4771703.0,139.0,477170300.0,Comércio varejista de produtos farmacêuticos homeopáticos,Alto Risco,PRODUTOS,MEDICAMENTOS,Centro-Sul,Gilberto Mestrinho,Baixíssimo,Não Licenciados,"{4771-7/03,4771-7/01}"
30484019000111.0,79.0,Centro,Aguardando Solicitação,?,Baixo Risco,4711301.0,125.0,471130100.0,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",Baixo Risco B,PRODUTOS,ALIMENTOS,Sul,Gloria,Baixíssimo,Não Licenciados,"{4711-3/01,4632-0/02,4691-5/00,4639-7/01,4637-1/05,4637-1/04}"
19088710000224.0,80.0,Parque Dez de Novembro,Aguardando Solicitação,?,Baixo Risco,4729602.0,135.0,472960200.0,Comércio varejista de mercadorias em lojas de conveniência,Baixo Risco B,PRODUTOS,ALIMENTOS,Centro-Sul,Iraci,Baixo,Não Licenciados,"{4729-6/02,4772-5/00}"
29762723000100.0,81.0,Cidade Nova,Aguardando Solicitação,?,Baixo Risco,4729699.0,136.0,472969900.0,"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não
especificados anteriormente",Baixo Risco B,PRODUTOS,ALIMENTOS,Norte,Japim,Baixo,Não Licenciados,"{4729-6/99,4712-1/00,4724-5/00,4722-9/02,4722-9/01}"
29774538000135.0,83.0,Flores,Aguardando Solicitação,?,Baixo Risco,4712100.0,127.0,471210000.0,"Comércio varejista de mercadorias em geral, com predominância de produtos
alimentícios - minimercados, mercearias e armazéns",Baixo Risco B,PRODUTOS,ALIMENTOS,Centro-Sul,Jardim Alvorada,Baixo,Não Licenciados,"{4712-1/00,4724-5/00}"
13993218000136.0,88.0,Sao Raimundo,Aguardando Solicitação,?,Baixo Risco,4711301.0,125.0,471130100.0,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - hipermercados",Baixo Risco B,PRODUTOS,ALIMENTOS,Oeste,Jardim Rosa Elze,Baixo,Não Licenciados,"{4711-3/01,4742-3/00,4930-2/03,4723-7/00,4930-2/04,4712-1/00,4930-2/02,4724-5/00,5320-2/02,4721-1/03,4744-0/99,4744-0/01,4930-2/01,4691-5/00,4751-2/01,4722-9/01}"
24101283000398.0,89.0,Tarumã,Aguardando Solicitação,?,Baixo Risco,4712100.0,127.0,471210000.0,"Comércio varejista de mercadorias em geral, com predominância de produtos
alimentícios - minimercados, mercearias e armazéns",Baixo Risco B,PRODUTOS,ALIMENTOS,Oeste,Jauari I,Baixo,Não Licenciados,{4712-1/00}
30299330000190.0,90.0,Cachoeirinha,Aguardando Solicitação,?,Baixo Risco,4930202.0,148.0,493020202.0,"Transporte rodoviária de medicamentos não controlados, intermunicipal, interestadual e internacional",Alto Risco,PRODUTOS,MEDICAMENTOS,Sul,Jorge Teixeira,Baixíssimo,Não Licenciados,"{4930-2/02,4724-5/00}"
29777106000188.0,8008.0,Praça 14 de Janeiro,Aguardando Solicitação,2020-03-15 15:17:31.570032,Baixo Risco,8690904.0,239.0,869090400.0,Atividades de podologia,Baixo Risco B,SERVIÇOS,INTERESSE Á SAÚDE,Sul,Lago Azul,Baixíssimo,Não Licenciados,"{8690-9/04,9602-5/02.01,9602-5/01}"
30798184000148.0,92.0,Petrópolis,Aguardando Solicitação,?,Baixo Risco,4723700.0,133.0,472370000.0,Comércio varejista de bebidas,Baixo Risco B,PRODUTOS,ALIMENTOS,Sul,Lírio do Vale,Baixo,Não Licenciados,"{4723-7/00,4712-1/00,4724-5/00,4755-5/02,4721-1/03}"
29712299000199.0,94.0,Cidade Nova,Aguardando Solicitação,?,Alto Risco,4723700.0,133.0,472370000.0,Comércio varejista de bebidas,Baixo Risco B,PRODUTOS,ALIMENTOS,Norte,Maresia,Baixo,Não Licenciados,"{4723-7/00,4772-5/00,4729-6/99,4755-5/02,4761-0/03,4771-7/01}"
29694976000193.0,95.0,Novo Aleixo,Aguardando Solicitação,?,Baixo Risco,4723700.0,133.0,472370000.0,Comércio varejista de bebidas,Baixo Risco B,PRODUTOS,ALIMENTOS,Norte,Margem Esquerda Do Rio Negro,Baixo,Não Licenciados,"{4723-7/00,4784-9/00}"
1729583000159.0,99.0,Adrianópolis,Aguardando Solicitação,?,Alto Risco,3250706.0,79.0,325070600.0,Serviços de prótese dentária,Baixo Risco B,SERVIÇOS,ASSISTÊNCIA À SAÚDE,Centro-Sul,Mauazinho,Baixíssimo,Não Licenciados,"{3250-7/06,8640-2/05,8640-2/04,7420-0/01,8630-5/04}"
84521053006855.0,11776.0,N. S. Das Gracas,Em análise,2020-10-03 07:59:17.333333,Alto Risco,4772500.0,140.0,477250000.0,"Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",Baixo Risco B,PRODUTOS,COSMÉTICOS,Centro-Sul,Monte Das Oliveira,Baixíssimo,Em processo,"{4772-5/00,4773-3/00,4713-0/02,4771-7/01}"
10580145000162.0,101.0,Alvorada,Aguardando Solicitação,?,Baixo Risco,4721104.0,130.0,472110400.0,"Comércio varejista de doces, balas, bombons e semelhantes",Baixo Risco B,PRODUTOS,ALIMENTOS,Oeste,Morro Da Liberdade,Baixíssimo,Não Licenciados,"{4721-1/04,4789-0/01,4772-5/00,4729-6/99,4712-1/00,4763-6/01,4755-5/03,4724-5/00,4755-5/02,4763-6/02,4761-0/01,4761-0/03,4721-1/03,4759-8/99,4762-8/00,4713-0/02,4722-9/01,4761-0/02}"
29720555000190.0,104.0,Alvorada,Aguardando Solicitação,?,Baixo Risco,4723700.0,133.0,472370000.0,Comércio varejista de bebidas,Baixo Risco B,PRODUTOS,ALIMENTOS,Oeste,Mutirao,Baixo,Não Licenciados,"{4723-7/00,4729-6/99,4753-9/00,4751-2/01}"
29733692000169.0,108.0,Santo Agostinho,Aguardando Solicitação,?,Baixo Risco,4723700.0,133.0,472370000.0,Comércio varejista de bebidas,Baixo Risco B,PRODUTOS,ALIMENTOS,Oeste,N. S. Aparecida,Médio,Não Licenciados,"{4723-7/00,4772-5/00,4729-6/99,4729-6/01}"
29731695000163.0,110.0,Cachoeirinha,Aguardando Solicitação,?,Alto Risco,5611201.0,160.0,561120101.0,"Restaurantes e similares com fornecimento de música
(uso de som amplificado)",Baixo Risco B,PRODUTOS,ALIMENTOS,Sul,N. S. Das Gracas,Médio,Não Licenciados,"{5611-2/01,5611-2/03,5620-1/01,5611-2/04,5620-1/02,8230-0/01,7729-2/02}"
10939598000132.0,114.0,Centro,Emitido,2018-12-20 00:00:00,Baixo Risco,9313100.0,255.0,931310000.0,Atividades de condicionamento físico,Baixo Risco B,SERVIÇOS,INTERESSE Á SAÚDE,Sul,N. S. de Fátima,Baixo,Licenciados,{9313-1/00}
8044832000111.0,117.0,Ponta Negra,Aguardando Solicitação,?,Baixo Risco,9313100.0,255.0,931310000.0,Atividades de condicionamento físico,Baixo Risco B,SERVIÇOS,INTERESSE Á SAÚDE,Oeste,Nova Al Eixo,Baixo,Não Licenciados,{9313-1/00}
29746605000108.0,118.0,Alvorada,Aguardando Solicitação,?,Alto Risco,4637199.0,111.0,463719900.0,Comércio atacadista especializado em outros produtos alimentícios não especificados anteriormente,Baixo Risco B,PRODUTOS,ALIMENTOS,Oeste,Nova Cidade,Baixíssimo,Não Licenciados,"{4637-1/99,4772-5/00,4712-1/00,4647-8/01,4681-8/05,4635-4/02,4619-2/00,4679-6/99,4646-0/02,4646-0/01,4649-4/99,4639-7/01,4649-4/08,4679-6/01,4711-3/02}"
28757050000137.0,119.0,Planalto,Aguardando Solicitação,?,Baixo Risco,4723700.0,133.0,472370000.0,Comércio varejista de bebidas,Baixo Risco B,PRODUTOS,ALIMENTOS,Centro-Oeste,Nova Esperanca,Alto,Não Licenciados,"{4723-7/00,4729-6/99,4789-0/04,4789-0/05,4721-1/03}"
29734194000130.0,121.0,Da Paz,Aguardando Solicitação,?,Baixo Risco,9313100.0,255.0,931310000.0,Atividades de condicionamento físico,Baixo Risco B,SERVIÇOS,INTERESSE Á SAÚDE,Centro-Oeste,Nova Floresta,Baixo,Não Licenciados,{9313-1/00}
10788629000100.0,1754.0,Praça 14 de Janeiro,Aguardando Solicitação,?,Baixo Risco,4711302.0,126.0,471130200.0,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",Baixo Risco B,PRODUTOS,ALIMENTOS,Sul,Nova Manaus,Baixo,Não Licenciados,{4711-3/02}
89633272000132.0,127.0,N. S. Aparecida,Aguardando Solicitação,?,Alto Risco,2123800.0,64.0,212380000.0,Fabricação de preparações farmacêuticas,Alto Risco,PRODUTOS,MEDICAMENTOS,Sul,Novo Aleixo,Baixo,Não Licenciados,"{2123-8/00,4771-7/02,4771-7/01,8640-2/09}"
29733512000149.0,128.0,Chapada,Aguardando Solicitação,?,Alto Risco,8630599.0,207.0,863059900.0,Atividades de atenção ambulatorial não especificadas anteriormente,Risco Condicionado,SERVIÇOS,ASSISTÊNCIA À SAÚDE,Oeste,Novo Israel,Baixíssimo,Não Licenciados,"{8630-5/99,8630-5/02,8630-5/03}"
29736973000175.0,129.0,Compensa,Indeferido,?,Alto Risco,5620104.0,171.0,562010400.0,"Fornecimento de alimentos preparados
preponderantemente para consumo domiciliar",Baixo Risco B,PRODUTOS,ALIMENTOS,Oeste,Parque das Laranjeiras,Baixo,Não Licenciados,"{5620-1/04,5620-1/01,5620-1/02}"
26734118000218.0,133.0,Tarumã,Aguardando Solicitação,?,Baixo Risco,5611203.0,163.0,561120300.0,"Lanchonetes, casas de chá,
de sucos e similares",Baixo Risco B,PRODUTOS,ALIMENTOS,Oeste,Parque Dez de Novembro,Alto,Não Licenciados,{5611-2/03}
28247357000198.0,134.0,Centro,Aguardando Solicitação,?,Baixo Risco,4712100.0,127.0,471210000.0,"Comércio varejista de mercadorias em geral, com predominância de produtos
alimentícios - minimercados, mercearias e armazéns",Baixo Risco B,PRODUTOS,ALIMENTOS,Sul,Paz,Baixo,Não Licenciados,"{4712-1/00,4724-5/00}"
22859852000171.0,136.0,Cachoeirinha,Aguardando Solicitação,?,Baixo Risco,5620104.0,171.0,562010400.0,"Fornecimento de alimentos preparados
preponderantemente para consumo domiciliar",Baixo Risco B,PRODUTOS,ALIMENTOS,Sul,Petrópolis,Baixo,Não Licenciados,"{5620-1/04,8011-1/01,4744-0/99,4399-1/03}"
4559308000475.0,137.0,Centro,Aguardando Solicitação,?,Baixo Risco,4711302.0,126.0,471130200.0,"Comércio varejista de mercadorias em geral, com predominância de produtos alimentícios - supermercados",Baixo Risco B,PRODUTOS,ALIMENTOS,Sul,Planalto,Alto,Não Licenciados,{4711-3/02}
12630576000111.0,138.0,Japim,Aguardando Solicitação,?,Alto Risco,5611201.0,160.0,561120101.0,"Restaurantes e similares com fornecimento de música
(uso de som amplificado)",Baixo Risco B,PRODUTOS,ALIMENTOS,Sul,Ponta Negra,Altíssimo,Não Licenciados,"{5611-2/01,5620-1/04,5620-1/01}"
29746409000133.0,139.0,Compensa,Aguardando Solicitação,?,Baixo Risco,4729699.0,136.0,472969900.0,"Comércio varejista de produtos alimentícios em geral ou especializado em produtos alimentícios não
especificados anteriormente",Baixo Risco B,PRODUTOS,ALIMENTOS,Oeste,Praça 14 de Janeiro,Médio,Não Licenciados,"{4729-6/99,4712-1/00,4724-5/00,4721-1/03,4721-1/02}"
27695780000198.0,140.0,D. Pedro,Aguardando Solicitação,?,Baixo Risco,9602502.0,259.0,960250201.0,Atividades de estética e outros serviços de cuidados com a beleza,Risco Condicionado,SERVIÇOS,INTERESSE Á SAÚDE,Centro-Oeste,Presidente Vargas,Baixo,Não Licenciados,"{9602-5/02.01,9602-5/01}"
23613186000230.0,141.0,Japim,Aguardando Solicitação,?,Baixo Risco,4729602.0,135.0,472960200.0,Comércio varejista de mercadorias em lojas de conveniência,Baixo Risco B,PRODUTOS,ALIMENTOS,Sul,Puraquequara,Baixíssimo,Não Licenciados,"{4729-6/02,5611-2/03,4721-1/02}"
30246551000109.0,149.0,Centro,Aguardando Solicitação,?,Baixo Risco,8650003.0,226.0,865000301.0,Atividades de psicologia,Baixo Risco B,SERVIÇOS,ASSISTÊNCIA À SAÚDE,Sul,Raiz,Baixo,Não Licenciados,{8650-0/03.01}
29576472000179.0,151.0,Cachoeirinha,Indeferido,?,Alto Risco,3250706.0,79.0,325070600.0,Serviços de prótese dentária,Baixo Risco B,SERVIÇOS,ASSISTÊNCIA À SAÚDE,Sul,Redenção,Baixo,Não Licenciados,"{3250-7/06,8630-5/04}"
73751570000278.0,155.0,Morro Da Liberdade,Aguardando Solicitação,?,Baixo Risco,4635499.0,103.0,463549900.0,Comércio atacadista de bebidas não especificadas anteriormente,Baixo Risco B,PRODUTOS,ALIMENTOS,Sul,Santa Etelvina,Baixo,Não Licenciados,{4635-4/99}
17186450000113.0,158.0,Nova Cidade,Emitido,2019-01-15 00:00:00,Baixo Risco,4712100.0,127.0,471210000.0,"Comércio varejista de mercadorias em geral, com predominância de produtos
alimentícios - minimercados, mercearias e armazéns",Baixo Risco B,PRODUTOS,ALIMENTOS,Norte,Santa Luzia,Baixo,Licenciados,"{4712-1/00,4713-0/02,4784-9/00}"
29817568000181.0,159.0,Cachoeirinha,Aguardando Solicitação,?,Baixo Risco,8630503.0,203.0,863050300.0,Atividade médica ambulatorial restrita a consultas,Baixo Risco B,SERVIÇOS,ASSISTÊNCIA À SAÚDE,Sul,Santo Agostinho,Baixo,Não Licenciados,{8630-5/03}
27070407000141.0,161.0,Colônia Santo Antônio,Indeferido,?,Baixo Risco,4789099.0,144.0,478909999.0,Comércio varejista de outros produtos não especificados anteriormente,Baixo Risco B,PRODUTOS,DIVERSOS,Oeste,Santo Antônio,Baixo,Não Licenciados,{4789-0/99.99}
34584565000185.0,163.0,Jorge Teixeira,Aguardando Solicitação,?,Baixo Risco,4721104.0,130.0,472110400.0,"Comércio varejista de doces, balas, bombons e semelhantes",Baixo Risco B,PRODUTOS,ALIMENTOS,Leste,Santo Elias,Baixo,Não Licenciados,"{4721-1/04,4723-7/00,4712-1/00}"
27633087000190.0,11903.0,Centro,Em Exigência,2020-12-29 09:47:55.146356,Alto Risco,5620104.0,171.0,562010400.0,"Fornecimento de alimentos preparados
preponderantemente para consumo domiciliar",Baixo Risco B,PRODUTOS,ALIMENTOS,Sul,Sao Francisco,Médio,Em processo,"{5620-1/04,5620-1/01,8650-0/02,5620-1/02,5620-1/03}"
27816845000106.0,169.0,N. S. Das Gracas,Aguardando Solicitação,?,Baixo Risco,4774100.0,142.0,477410000.0,Comércio varejista de artigos de óptica,Baixo Risco B,PRODUTOS,PPS,Centro-Sul,Sao Geraldo,Baixo,Não Licenciados,{4774-1/00}
