CNPJ;ProtocoloId2;Bairro;Documento;Situação;Atividades;Data da Emissão;Grau de Risco;Principal Atividade
19852894000257;1981;Santa Etelvina;Licença Sanitária;Emitido;{4723-7/00,4729-6/02,4772-5/00,4729-6/99,4712-1/00};21/11/2018;Baixo Risco;4723700
4565289004215;15242;Centro;Licença Sanitária;Em análise;{4772-5/00,4771-7/03,5320-2/02,4729-6/99,4773-3/00,4771-7/01,8650-0/99.99};;Alto Risco;4772500
20488207000164;54;Aleixo;Licença Sanitária;Aguardando Solicitação;{5611-2/01.01,8230-0/02};;Baixo Risco;5611201
6167210000155;55;N. S. Das Gracas;Licença Sanitária;Aguardando Solicitação;0;;Baixo Risco;0
5328534000165;56;Santo Agostinho;Licença Sanitária;Aguardando Solicitação;{4721-1/04,4723-7/00,4729-6/99,4712-1/00,4721-1/03};;Baixo Risco;4721104
13014296000141;4115;Alvorada;Licença Sanitária;Emitido;{4721-1/04,4723-7/00,4712-1/00,5611-2/03,4721-1/03,1091-1/02,4721-1/02};28/05/2019;Baixo Risco;4721104
13014296000222;58;Planalto;Licença Sanitária;Aguardando Solicitação;{1091-1/02};;Baixo Risco;1091102
29958769000107;59;Cidade de Deus;Licença Sanitária;Aguardando Solicitação;{4712-1/00,4721-1/03,4691-5/00,4721-1/02};;Baixo Risco;4712100
27308620000149;60;Monte Das Oliveira;Licença Sanitária;Aguardando Solicitação;0;;Baixo Risco;0
10755624000172;61;Cidade Nova;Licença Sanitária;Aguardando Solicitação;0;;Baixo Risco;0
29817638000100;62;Monte Das Oliveira;Licença Sanitária;Aguardando Solicitação;{4723-7/00,4772-5/00,4712-1/00,4744-0/99};;Baixo Risco;4723700
14977608000185;63;Tarumã;Licença Sanitária;Aguardando Solicitação;{4781-4/00,4723-7/00,4782-2/01,4712-1/00,4724-5/00,4722-9/01,4721-1/02};;Baixo Risco;4781400
23797376004242;64;Cachoeirinha;Licença Sanitária;Aguardando Solicitação;{4693-1/00};;Baixo Risco;4693100
29737084000122;65;Armando Mendes;Licença Sanitária;Aguardando Solicitação;{4723-7/00,4729-6/99,5611-2/04};;Baixo Risco;4723700
22816611000145;3416;Sao Jose;Licença Sanitária;Aguardando Solicitação;{6822-6/00,4757-1/00,4789-0/05};;Baixo Risco;6822600
27194692000102;67;Coroado;Licença Sanitária;Emitido;0;02/10/2020;Baixo Risco;0
29736290000118;68;Novo Aleixo;Licença Sanitária;Aguardando Solicitação;{4732-6/00,4731-8/00,4729-6/02,4784-9/00};;Baixo Risco;4732600
13815008000158;69;Cachoeirinha;Licença Sanitária;Aguardando Solicitação;{9601-7/01.01};;Baixo Risco;9601701
29697700000169;70;Sao Geraldo;Licença Sanitária;Aguardando Solicitação;{4723-7/00,4712-1/00,5611-2/03,4729-6/01};;Baixo Risco;4723700
24755439000192;71;Nova Cidade;Licença Sanitária;Aguardando Solicitação;0;;Baixo Risco;0
29970106000108;72;Sao  Francisco;Licença Sanitária;Aguardando Solicitação;{4723-7/00,4724-5/00,4722-9/02};;Baixo Risco;4723700
29842651000100;73;Parque Dez de Novembro;Licença Sanitária;Aguardando Solicitação;{5611-2/01,5611-2/03};;Baixo Risco;5611201
29868260000165;74;Jorge Teixeira;Licença Sanitária;Aguardando Solicitação;{4711-3/01,4742-3/00,4723-7/00,4729-6/99,4724-5/00,4721-1/03,4759-8/99,4721-1/02};;Baixo Risco;4711301
6972009000140;75;Zumbi dos Palmares;Licença Sanitária;Aguardando Solicitação;{4772-5/00,4729-6/99,4712-1/00,4722-9/01};;Baixo Risco;4772500
84533876000193;76;Centro;Licença Sanitária;Aguardando Solicitação;{3012-1/00,1822-9/01,4789-0/07,7719-5/01,1629-3/01,1622-6/02,5022-0/02,1821-1/00,4761-0/03,3317-1/01,4744-0/02,7820-5/00,5099-8/99,7830-2/00,5099-8/01,5022-0/01,5012-2/02};;Baixo Risco;3012100
14655325000117;77;Coroado;Licença Sanitária;Aguardando Solicitação;0;;Baixo Risco;0
27499542000107;78;Flores;Licença Sanitária;Aguardando Solicitação;{4771-7/03,4771-7/01};;Alto Risco;4771703
30484019000111;79;Centro;Licença Sanitária;Aguardando Solicitação;{4711-3/01,4632-0/02,4691-5/00,4639-7/01,4637-1/05,4637-1/04};;Baixo Risco;4711301
19088710000224;80;Parque Dez de Novembro;Licença Sanitária;Aguardando Solicitação;{4729-6/02,4772-5/00};;Baixo Risco;4729602
29762723000100;81;Cidade Nova;Licença Sanitária;Aguardando Solicitação;{4729-6/99,4712-1/00,4724-5/00,4722-9/02,4722-9/01};;Baixo Risco;4729699
29814307000108;82;Jorge Teixeira;Licença Sanitária;Aguardando Solicitação;{4687-7/03};;Baixo Risco;4687703
29774538000135;83;Flores;Licença Sanitária;Aguardando Solicitação;{4712-1/00,4724-5/00};;Baixo Risco;4712100
29775978000107;84;Zumbi dos Palmares;Licença Sanitária;Aguardando Solicitação;{4781-4/00,4742-3/00,4789-0/01,4772-5/00,4782-2/01,4789-0/04,4712-1/00,4763-6/01,4755-5/03,4755-5/02,4761-0/01,4782-2/02,4744-0/03,4744-0/01};;Baixo Risco;4781400
26500643000198;85;Centro;Licença Sanitária;Aguardando Solicitação;0;;Baixo Risco;0
27510658000108;86;Jorge Teixeira;Licença Sanitária;Aguardando Solicitação;{4744-0/99};;Baixo Risco;4744099
10193832000125;87;Alvorada;Licença Sanitária;Aguardando Solicitação;{7119-7/04,3329-5/99,3312-1/02,2511-0/00,7830-2/00,7810-8/00,4642-7/02,3312-1/03,2512-8/00};;Baixo Risco;7119704
13993218000136;88;Sao Raimundo;Licença Sanitária;Aguardando Solicitação;{4711-3/01,4742-3/00,4930-2/03,4723-7/00,4930-2/04,4712-1/00,4930-2/02,4724-5/00,5320-2/02,4721-1/03,4744-0/99,4744-0/01,4930-2/01,4691-5/00,4751-2/01,4722-9/01};;Baixo Risco;4711301
24101283000398;89;Tarumã;Licença Sanitária;Aguardando Solicitação;{4712-1/00};;Baixo Risco;4712100
30299330000190;90;Cachoeirinha;Licença Sanitária;Aguardando Solicitação;{4930-2/02,4724-5/00};;Baixo Risco;4930202
29777106000188;8008;Praça 14 de Janeiro;Licença Sanitária;Aguardando Solicitação;{8690-9/04,9602-5/02.01,9602-5/01};;;8690904
30798184000148;92;Petrópolis;Licença Sanitária;Aguardando Solicitação;{4723-7/00,4712-1/00,4724-5/00,4755-5/02,4721-1/03};;Baixo Risco;4723700
84468917000105;93;Parque Dez de Novembro;Licença Sanitária;Aguardando Solicitação;{7719-5/99,4520-0/05,7711-0/00,4929-9/01,4520-0/07,5091-2/01,7732-2/01,4520-0/01,4924-8/00,5091-2/02,4299-5/99,4929-9/02,4923-0/02,4399-1/03,4399-1/04,4399-1/01,7112-0/00};;Baixo Risco;7719599
29712299000199;94;Cidade Nova;Licença Sanitária;Aguardando Solicitação;{4723-7/00,4772-5/00,4729-6/99,4755-5/02,4761-0/03,4771-7/01};;Alto Risco;4723700
29694976000193;95;Novo Aleixo;Licença Sanitária;Aguardando Solicitação;{4723-7/00,4784-9/00};;Baixo Risco;4723700
27992657000139;96;Aleixo;Licença Sanitária;Aguardando Solicitação;0;;Baixo Risco;0
5193324000107;97;Aleixo;Licença Sanitária;Aguardando Solicitação;{4761-0/03,4771-7/01};;Alto Risco;4761003
23826984000160;98;Praça 14 de Janeiro;Licença Sanitária;Aguardando Solicitação;{4684-2/01,3831-9/01,3839-4/99,4686-9/02,1742-7/01,2222-6/00,4687-7/01,2441-5/02,3832-7/00,3811-4/00};;Alto Risco;4684201
1729583000159;99;Adrianópolis;Licença Sanitária;Aguardando Solicitação;{3250-7/06,8640-2/05,8640-2/04,7420-0/01,8630-5/04};;Alto Risco;3250706
84521053006855;11776;N. S. Das Gracas;Licença Sanitária;Em análise;{4772-5/00,4773-3/00,4713-0/02,4771-7/01};;Alto Risco;4772500
10580145000162;101;Alvorada;Licença Sanitária;Aguardando Solicitação;{4721-1/04,4789-0/01,4772-5/00,4729-6/99,4712-1/00,4763-6/01,4755-5/03,4724-5/00,4755-5/02,4763-6/02,4761-0/01,4761-0/03,4721-1/03,4759-8/99,4762-8/00,4713-0/02,4722-9/01,4761-0/02};;Baixo Risco;4721104
22786289000159;102;Japim;Licença Sanitária;Aguardando Solicitação;{6821-8/01,7119-7/01,4330-4/02,4321-5/00,6810-2/03,4330-4/03,4399-1/03,7111-1/00,4313-4/00,7112-0/00,4399-1/05,4322-3/01};;Baixo Risco;6821801
29945411000131;103;Parque Dez de Novembro;Licença Sanitária;Aguardando Solicitação;{4742-3/00,4723-7/00,4772-5/00,4729-6/99,4754-7/02,4757-1/00,4743-1/00,4741-5/00,4754-7/03,4761-0/03,4744-0/99,4744-0/01,4744-0/06,4744-0/05,4751-2/01};;Baixo Risco;4742300
29720555000190;104;Alvorada;Licença Sanitária;Aguardando Solicitação;{4723-7/00,4729-6/99,4753-9/00,4751-2/01};;Baixo Risco;4723700
9338725000169;105;Ponta Negra;Licença Sanitária;Aguardando Solicitação;{9329-8/99.99,7719-5/01,5091-2/01.01,5091-2/02,5022-0/02,5099-8/01,7912-1/00.01,5022-0/01};;Baixo Risco;9329899
29787765000103;5209;Flores;Licença Sanitária;Aguardando Solicitação;{4789-0/04,7500-1/00.01,4771-7/04};;;4789004
12880983000187;107;Centro;Licença Sanitária;Aguardando Solicitação;{4783-1/01,4781-4/00,4789-0/01,4772-5/00};;Baixo Risco;4783101
29733692000169;108;Santo Agostinho;Licença Sanitária;Aguardando Solicitação;{4723-7/00,4772-5/00,4729-6/99,4729-6/01};;Baixo Risco;4723700
29762979000117;109;N. S. Das Gracas;Licença Sanitária;Aguardando Solicitação;{6810-2/02};;Baixo Risco;6810202
29731695000163;110;Cachoeirinha;Licença Sanitária;Aguardando Solicitação;{5611-2/01,5611-2/03,5620-1/01,5611-2/04,5620-1/02,8230-0/01,7729-2/02};;Alto Risco;5611201
30261098000100;111;Planalto;Certidão de Aprovação de Projeto junto a Vigilância Sanitária;Aguardando Solicitação;{7319-0/04,6463-8/00,6461-1/00,7119-7/01.01,7490-1/03,6204-0/00,7020-4/00.01,6462-0/00,6311-9/00.01,7111-1/00,6920-6/01,8660-7/00.01,6920-6/02.01,6621-5/02.01};;Baixo Risco;7319004
24092359000102;112;Centro;Licença Sanitária;Aguardando Solicitação;{4783-1/01};;Baixo Risco;4783101
29773639000191;2257;Sao  Francisco;Licença Sanitária;Aguardando Solicitação;{4789-0/04,9609-2/08,7500-1/00.01};;;4789004
10939598000132;114;Centro;Licença Sanitária;Emitido;{9313-1/00};20/12/2018;Baixo Risco;9313100
24872430000161;115;Educando;Licença Sanitária;Aguardando Solicitação;0;;Baixo Risco;0
22292161000139;116;Vila da Prata;Licença Sanitária;Aguardando Solicitação;{1340-5/01,1731-1/00,3299-0/02,4789-0/99.99,1813-0/01,1813-0/99,1340-5/99,2532-2/01.01,1521-1/00};;Alto Risco;1340501
8044832000111;117;Ponta Negra;Licença Sanitária;Aguardando Solicitação;{9313-1/00};;Baixo Risco;9313100
29746605000108;118;Alvorada;Licença Sanitária;Aguardando Solicitação;{4637-1/99,4772-5/00,4712-1/00,4647-8/01,4681-8/05,4635-4/02,4619-2/00,4679-6/99,4646-0/02,4646-0/01,4649-4/99,4639-7/01,4649-4/08,4679-6/01,4711-3/02};;Alto Risco;4637199
28757050000137;119;Planalto;Licença Sanitária;Aguardando Solicitação;{4723-7/00,4729-6/99,4789-0/04,4789-0/05,4721-1/03};;Baixo Risco;4723700
20928686000192;120;Parque Dez de Novembro;Licença Sanitária;Aguardando Solicitação;{4781-4/00,4618-4/99,4789-0/01,4616-8/00,4782-2/01,4613-3/00,5611-2/03,5620-1/01,4782-2/02,4744-0/99,4617-6/00};;Alto Risco;4781400
29734194000130;121;Da Paz;Licença Sanitária;Aguardando Solicitação;{9313-1/00};;Baixo Risco;9313100
10788629000100;1754;Praça 14 de Janeiro;Licença Sanitária;Aguardando Solicitação;{4711-3/02};;Baixo Risco;4711302
29745762000107;123;Compensa;Licença Sanitária;Aguardando Solicitação;{4618-4/99,4742-3/00,4721-1/04,4616-8/00,4772-5/00,4729-6/99,4618-4/01,4613-3/00,7319-0/02,4763-6/01,4755-5/02,4619-2/00,4761-0/03,4721-1/03,4782-2/02,4744-0/03,4744-0/01,4617-6/00,4615-0/00};;Baixo Risco;4618499
29790582000139;124;Coroado;Licença Sanitária;Aguardando Solicitação;{9521-5/00.01,4789-0/99.99,3314-7/10,5320-2/02};;Baixo Risco;9521500
29750051000112;125;Lírio do Vale;Licença Sanitária;Emitido Sob Inspeção;{4781-4/00,4789-0/01,4772-5/00,4782-2/01,4757-1/00,4763-6/01,4755-5/02,4761-0/03,4782-2/02};08/09/2020;Baixo Risco;4781400
29791445000119;126;Monte Das Oliveira;Licença Sanitária;Aguardando Solicitação;{4618-4/99,4618-4/01,4619-2/00,8599-6/04,7020-4/00.01,4617-6/00};;Baixo Risco;4618499
89633272000132;127;N. S. Aparecida;CertidÃ£o de AprovaÃ§Ã£o do Projeto;Aguardando Solicitação;{2123-8/00,4771-7/02,4771-7/01,8640-2/09};;Alto Risco;2123800
29733512000149;128;Chapada;Certidão de Aprovação de Projeto junto a Vigilância Sanitária;Aguardando Solicitação;{8630-5/99,8630-5/02,8630-5/03};;Alto Risco;8630599
29736973000175;129;Compensa;Licença Sanitária;Indeferido;{5620-1/04,5620-1/01,5620-1/02};;Alto Risco;5620104
17751480000125;130;N. S. Das Gracas;Licença Sanitária;Aguardando Solicitação;0;;Baixo Risco;0
29710281000158;131;Colônia Terra Nova;Licença Sanitária;Emitido;{4618-4/99,4742-3/00,4613-3/00,4741-5/00,4744-0/99,4744-0/03,4744-0/04,4744-0/01,4512-9/01.01};18/09/2019;Baixo Risco;4618499
29140626000347;132;Ponta Negra;Licença Sanitária;Aguardando Solicitação;{4783-1/02,4774-1/00,4789-0/99.99,4782-2/02};;Baixo Risco;4783102
26734118000218;133;Tarumã;Licença Sanitária;Aguardando Solicitação;{5611-2/03};;Baixo Risco;5611203
28247357000198;134;Centro;Licença Sanitária;Aguardando Solicitação;{4712-1/00,4724-5/00};;Baixo Risco;4712100
9241008000114;135;Cachoeirinha;Licença Sanitária;Aguardando Solicitação;{8111-7/00.02,4322-3/02.02,4311-8/02,3314-7/07,4321-5/00.02,8011-1/01,8111-7/00.01,4322-3/02.01,8121-4/00,8129-0/00.99,8020-0/01.01,4399-1/03,3319-8/00,4321-5/00.01,4330-4/04,4322-3/01};;;8111700
22859852000171;136;Cachoeirinha;Licença Sanitária;Aguardando Solicitação;{5620-1/04,8011-1/01,4744-0/99,4399-1/03};;Baixo Risco;5620104
4559308000475;137;Centro;Licença Sanitária;Aguardando Solicitação;{4711-3/02};;Baixo Risco;4711302
12630576000111;138;Japim;Licença Sanitária;Aguardando Solicitação;{5611-2/01,5620-1/04,5620-1/01};;Alto Risco;5611201
29746409000133;139;Compensa;Licença Sanitária;Aguardando Solicitação;{4729-6/99,4712-1/00,4724-5/00,4721-1/03,4721-1/02};;Baixo Risco;4729699
27695780000198;140;D. Pedro;Certidão de Aprovação de Projeto junto a Vigilância Sanitária;Aguardando Solicitação;{9602-5/02.01,9602-5/01};;;9602502
23613186000230;141;Japim;Licença Sanitária;Aguardando Solicitação;{4729-6/02,5611-2/03,4721-1/02};;Baixo Risco;4729602
19289761000133;142;N. S. Das Gracas;Licença Sanitária;Aguardando Solicitação;{4781-4/00,4664-8/00,4644-3/01.02,4756-3/00,4772-5/00,4644-3/02.01,4520-0/01,7739-0/99,4789-0/08,4729-6/99,4644-3/02.02,4644-3/01.01,4669-9/01,4330-4/99.04,4754-7/02,4645-1/02,4757-1/00,4789-0/05,4647-8/01,4763-6/01,4645-1/03,8111-7/00.01,4330-4/99.02,4647-8/02,4773-3/00,4753-9/00,8599-6/04,8121-4/00,4763-6/02,4761-0/01,8129-0/00.99,4330-4/99.01,4761-0/03,4649-4/99.99,7020-4/00.01,4651-6/01,4642-7/01,4646-0/02,4645-1/01,4646-0/01,4771-7/01,4754-7/01,3811-4/00,4751-2/01,4642-7/02,4649-4/08};;Alto Risco;4781400
17697849000169;143;Colônia Santo Antônio;Licença Sanitária;Aguardando Solicitação;{4520-0/05,4723-7/00,4756-3/00,9329-8/01,5611-2/03,4753-9/00,7420-0/04,5911-1/02,8230-0/02,5212-5/00};;Baixo Risco;4520005
25367994000100;144;Centro;Licença Sanitária;Aguardando Solicitação;{4783-1/01,4781-4/00,4789-0/01,4712-1/00,4755-5/02,4713-0/02};;Baixo Risco;4783101
12842122000104;145;Centro;Licença Sanitária;Aguardando Solicitação;0;;Baixo Risco;0
26570789000100;146;Betania;Licença Sanitária;Aguardando Solicitação;{4520-0/05,4530-7/03,4732-6/00,4723-7/00,4712-1/00,4784-9/00.01};;Baixo Risco;4520005
18755415000130;147;Colônia Santo Antônio;Licença Sanitária;Aguardando Solicitação;{7711-0/00,5510-8/03,4712-1/00,4784-9/00.04};;Baixo Risco;7711000
29762118000139;148;Lírio do Vale;Licença Sanitária;Aguardando Solicitação;0;;Baixo Risco;0
30246551000109;149;Centro;Certidão de Aprovação de Projeto junto a Vigilância Sanitária;Aguardando Solicitação;{8650-0/03.01};;Baixo Risco;8650003
7101626000133;150;Centro;Licença Sanitária;Aguardando Solicitação;{4781-4/00,4721-1/04,4723-7/00,4789-0/01,4772-5/00,4712-1/00,4763-6/01,4755-5/02,4761-0/03,4721-1/03,4744-0/99,1091-1/02,4722-9/01};;Baixo Risco;4781400
29576472000179;151;Cachoeirinha;Licença Sanitária;Indeferido;{3250-7/06,8630-5/04};;Alto Risco;3250706
29789094000101;152;N. S. Das Gracas;Licença Sanitária;Aguardando Solicitação;0;;Baixo Risco;0
29775549000130;153;Nova Esperanca;Licença Sanitária;Aguardando Solicitação;0;;Baixo Risco;0
28183371000175;154;Educando;Licença Sanitária;Aguardando Solicitação;0;;Baixo Risco;0
73751570000278;155;Morro Da Liberdade;Licença Sanitária;Aguardando Solicitação;{4635-4/99};;Baixo Risco;4635499
14984750000150;156;Cidade de Deus;Licença Sanitária;Aguardando Solicitação;{6463-8/00,5250-8/05,4930-2/03,4930-2/04,5232-0/00,4930-2/02,5229-0/99,5250-8/03,4930-2/01,5250-8/04,5212-5/00,5211-7/01,5320-2/01,7719-5/99};;Baixo Risco;6463800
21779653000190;157;Sao Jose;Licença Sanitária;Aguardando Solicitação;{4757-1/00};;Baixo Risco;4757100
17186450000113;158;Nova Cidade;Licença Sanitária;Emitido;{4712-1/00,4713-0/02,4784-9/00};15/01/2019;Baixo Risco;4712100
29817568000181;159;Cachoeirinha;Certidão de Aprovação de Projeto junto a Vigilância Sanitária;Aguardando Solicitação;{8630-5/03};;Baixo Risco;8630503
24720675000173;160;Flores;Licença Sanitária;Aguardando Solicitação;0;;Baixo Risco;0
27070407000141;161;Colônia Santo Antônio;Licença Sanitária;Indeferido;{4789-0/99.99};;Baixo Risco;4789099
29330659000198;162;Cidade Nova;Licença Sanitária;Indeferido;{4784-9/00};;Baixo Risco;4784900
34584565000185;163;Jorge Teixeira;Licença Sanitária;Aguardando Solicitação;{4721-1/04,4723-7/00,4712-1/00};;Baixo Risco;4721104
19402201000143;164;Armando Mendes;Licença Sanitária;Indeferido;0;;Baixo Risco;0
27337779000191;165;Centro;Licença Sanitária;Indeferido;{4742-3/00,4755-5/02,4744-0/01};;Baixo Risco;4742300
27633087000190;11903;Centro;Licença Sanitária;Em Exigência;{5620-1/04,5620-1/01,8650-0/02,5620-1/02,5620-1/03};;Alto Risco;5620104
